,track_name,artist,album_name,date_listened,uts,url,tags
10603,Send in the Clouds,Silver Jews,American Water,"09 Nov 2023, 04:18",1699503511,https://www.last.fm/music/Silver+Jews/_/Send+in+the+Clouds,indie
10604,We Are Real,Silver Jews,American Water,"09 Nov 2023, 04:14",1699503248,https://www.last.fm/music/Silver+Jews/_/We+Are+Real,indie
10605,Blue Arrangements,Silver Jews,American Water,"09 Nov 2023, 02:48",1699498091,https://www.last.fm/music/Silver+Jews/_/Blue+Arrangements,indie
10606,People,Silver Jews,American Water,"09 Nov 2023, 02:43",1699497809,https://www.last.fm/music/Silver+Jews/_/People,indie
10607,Godspeed,Frank Ocean,Blonde,"09 Nov 2023, 02:40",1699497636,https://www.last.fm/music/Frank+Ocean/_/Godspeed,rnb
10608,Spirit 2.0,Sampha,Lahai,"08 Nov 2023, 22:38",1699483082,https://www.last.fm/music/Sampha/_/Spirit+2.0,electronic
10609,Stereo Colour Cloud (Shaman's Dream),Sampha,Lahai,"08 Nov 2023, 22:35",1699482906,https://www.last.fm/music/Sampha/_/Stereo+Colour+Cloud+(Shaman%27s+Dream),electronic
10610,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:24",1700641495,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10611,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:20",1700641204,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10612,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:15",1700640914,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10613,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:10",1700640623,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
